"accountId","transaction_hash"
"nf-payments2.near","CfHQyQr8FNMAPjrzowW8i1pXeMNfAqrE9iwjsuMhMRvY"
"nf-payments2.near","59z9YozGmuW8NmwGpPkbzMTLwndFM8MhNKNCGQzgbFjb"
"nf-payments2.near","4G6e2xgz2ZTfBrzgU9pZ8kx5S42uC7BdM5vnvy5MU1vy"
"nf-payments2.near","yovWDXhuFpYLcJVAjPHkWvdNhyJLohTBnYgxpYnzodP"
"nf-payments2.near","3C3YBgLmjaz7Bcqg3LGRbumwXAGHLxXJ1f4nTvRXan7A"
"nf-payments2.near","8oRLEL5DwhKdHKA1oU3GiTVif2UJ1doWNzp9rmgjRRCU"
"nf-payments2.near","8AZ4JX8XfXwfVG7z8U3nf32Zx7kFZFkSfSEtJpRwWEWP"
"nf-payments2.near","4cJJZDhz7aRCkFuL6YTAWQfj1JSx4EGLbYTXRkXTiCir"
"nf-payments2.near","12hQNQo9QWRnMqXuDjZ9PZNUPXNJB5TTLhK8fz6nzAtv"
"nf-payments2.near","AwScGnwo8xRCj5o3YdkodH7gLNMnmHQAhQEQNqNZwZQa"
"nf-payments2.near","EQe3J31TWrue5HEeshHDpdWhnQnUs5XuL8QN4oS5YU29"
"nf-payments2.near","93DjVW3Z3UPiTRBD5zbHrjq5ZFbzhtLaiq2fDVuJpB3u"
"nf-payments2.near","45EuFEBNod3mPozC62DiJXLR78oU7TNuCr5dzivfzLnE"
"nf-payments2.near","6PFD7VatrjfVokiCv5ARJi8QUubMh2Ws6RQKXDbTghC8"
"nf-payments2.near","6DK9WtN7rMfMBqHXLX5UmQLNdkJRHaPopnoauXFpTSRJ"
"nf-payments2.near","4B2xG7sqSehpWyMC6cwq85NVFtXbaCmitBU42YHU83vC"
"nf-payments2.near","52KWv92DgkCZsGuyr6Kpsc1i1HzNwR1YPGACXXN6WWV"
"nf-payments2.near","9NDbXnvc8ojsGTNY2GDtSgNwK1PmCzJwXvM4eoEQfjWi"
"nf-payments2.near","85deEKdGfFyuu8wqrx1aYKdUPLWMV2hvYYcRcqdSVHTP"
"nf-payments2.near","HitFW7qS5wrXNMoDnitJK5nhhSG9SXMEs48wV1tJxrzn"
"nf-payments2.near","59XJHYQfVVo1L2L89Cm8r8NwqkVFXFMaAkHPR3apax1i"
"nf-payments2.near","FSFUP9u9cAjTYwCRWGXJhkmJPKvbGaWQkfZoetTgzrUz"
"nf-payments2.near","7BbnABiC2czMPU13LjptRtXdUVv8fdn9gqaGNGXTPzu"
